kind,command,template,image,colors,MS-SSIM
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,128,0.989243
image,command2,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=5bit {input},images/snake.png,256,0.991971
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=6bit {input},images/snake.png,8,0.91315
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=6bit {input},images/snake.png,16,0.939214
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=6bit {input},images/snake.png,32,0.971227
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=6bit {input},images/snake.png,64,0.980587
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=6bit {input},images/snake.png,128,0.989243
image,command3,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=6bit {input},images/snake.png,256,0.991971
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=certlut {input},images/snake.png,8,0.91315
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=certlut {input},images/snake.png,16,0.939214
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=certlut {input},images/snake.png,32,0.971227
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=certlut {input},images/snake.png,64,0.980587
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=certlut {input},images/snake.png,128,0.989243
image,command4,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=certlut {input},images/snake.png,256,0.991971
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=eytzinger {input},images/snake.png,8,0.91315
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=eytzinger {input},images/snake.png,16,0.939214
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=eytzinger {input},images/snake.png,32,0.971227
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=eytzinger {input},images/snake.png,64,0.980587
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=eytzinger {input},images/snake.png,128,0.989243
image,command5,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=eytzinger {input},images/snake.png,256,0.991971
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=vptree {input},images/snake.png,8,0.91315
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=vptree {input},images/snake.png,16,0.939214
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=vptree {input},images/snake.png,32,0.971227
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=vptree {input},images/snake.png,64,0.980587
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=vptree {input},images/snake.png,128,0.989243
image,command6,{img2sixel} --threads=1 --precision=8bit --quality=full -Qkmeans:Gw -Xoklab -Wgamma --diffusion=none --lookup-policy=none -p {ncolors} -M gpl:- -o /dev/null {input} | {img2sixel} --threads=1 --precision=8bit --quality=full -m gpl:- -Wgamma --diffusion=none --lookup-policy=vptree {input},images/snake.png,256,0.991971
